Car,Manufacturer,Make,Model,Production_Year,Status,Car_Class,Film,Film Order,Role
2011 Nissan GT-R R35,Nissan Motor Company,Nissan,GT-R R35,2011[1],In Production,2-door 2+2 coupé,Fast & Furious 6,FF6,Minor
2011 Porsche 996 GT3 RS,Porsche,Porsche,996 GT3 RS,2011,Discontinued,Sports Car,Fast Five,FF5,Minor
2011 STC Delta Didgori-2,STC Delta,STC Delta,Didgori-2,2011,In Production,SUV,F9,FF9,Major
2011 Subaru Impreza WRX STI,Fuji Heavy Industries,Subaru,Impreza WRX STI,2007-2014,Discontinued,Compact car,Fast Five,FF5,Minor
2012 Dodge Charger SRT-8,Dodge,Dodge,Charger SRT-8,2012,In Production,Muscle,Fast & Furious 6,FF6,Major
2012 Nissan GT-R R35,Nissan Motor Company,Nissan,GT-R R35,2012[1],In Production,2-door 2+2 coupé,Furious 7,FF7,Major
2012 Nissan GT-R R35 Bensopra,Nissan Motor Company,Nissan,GT-R R35,2012[1],In Production,2-door 2+2 coupé,Fast & Furious 6,FF6,Minor
2012 Subaru Impreza WRX STi GH,Fuji Heavy Industries,Subaru,Impreza WRX ST,2012[1],In Production,4-door sedan,Furious 7,FF7,Major
2013 Chrysler Town & Country,Chrysler,Chrysler,Town & Country,2007-2016,Discontinued,Minivan,Furious 7,FF7,Minor
2013 Eagle Speedster,Eagle (recreation)Jaguar (base),Eagle,Speedster,By order only,By order only,N/A,Fast & Furious 6,FF6,Minor
2014 Chevrolet Suburban LT,Chevrolet/GMC (General Motors),Chevrolet,Suburban,2007-2014,In Production,4-door SUV,Furious 7,FF7,Minor
2014 Dodge Charger SRT-8,"Dodge (Fiat Chrysler Automobiles, previously Chrysler)",Dodge,Charger SRT-8,2011-present,In Production,Full-size,Furious 7,FF7,Minor
2014 Lykan HyperSport,W Motors,Lykan,Hypersport,2014,Discontinued,Hypercar,Furious 7,FF7,Major
2014 Maserati Ghibli,Maserati,Maserati,Ghibli,2014,In Production,Sport,Furious 7,FF7,Major
2015 Ford Mustang GT350,Ford Motor Cars,Ford,Mustang,2015,In Production,Muscle,F9,FF9,Major
2015 Subaru WRX STi,Fuji Heavy Industries,Subaru,WRX STI,2015,In Production,4-door sedan,The Fate of the Furious,FF8,Minor
2019 Jaguar XE,Jaguar Land Rover,Jaguar,XE SV,2019,In Production,Sports,F9,FF9,Major
2020 Jeep Gladiator,Fiat Chrysler Automobiles,Jeep,Gladiator,2020,In Production,SUV,F9,FF9,Major
Astana Hotto,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,N/A
Chevrolet Camaro,"Chevrolet, General Motors",N/A,N/A,N/A,N/A,N/A,N/A,,N/A
Chevrolet Monte Carlo,Chevrolet,N/A,N/A,N/A,N/A,N/A,N/A,,N/A
Chevrolet Monte Carlo,Chevrolet,N/A,N/A,N/A,N/A,N/A,N/A,,N/A
Dodge Challenger,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,N/A
Dodge Charger,Chrysler,Dodge,N/A,N/A,N/A,N/A,N/A,,N/A
Dodge Ram,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,N/A
Dodge Stealth,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,N/A
Fast & Furious 6 Cars,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,N/A
Fast & Furious Cars,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,N/A
Fast Attack Vehicle,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,N/A
Fast Five Cars,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,N/A
Ferrari FXX,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,N/A
Flip Car,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,N/A
Ford Mustang,Ford,Ford,N/A,N/A,N/A,N/A,N/A,,N/A
Ford RS200,Ford,Ford,N/A,N/A,N/A,N/A,N/A,,N/A
Furious 7 Cars,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,N/A
Honda Civic,Honda,Honda,N/A,N/A,N/A,N/A,N/A,,N/A
Honda S2000,Honda,Honda,N/A,N/A,N/A,N/A,N/A,,N/A
Hyperfin,N/A,N/A, N/A,N/A,N/A,N/A,N/A,,N/A
Images of cars,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,N/A
Ion Motors Thresher,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,N/A
List of Cars in The Fast and the Furious (series),N/A,N/A,N/A,N/A,N/A,N/A,N/A,,N/A
Mazda RX-7,Mazda,Mazda,N/A,N/A,N/A,N/A,N/A,,N/A
Mitsubishi Eclipse,Mitsubishi Motors,Mitsubishi,N/A,N/A,N/A,N/A,N/A,,N/A
Mitsubishi Lancer Evolution,Mitsubishi Motors,Mitsubishi,N/A,N/A,N/A,N/A,N/A,,N/A
Muscle cars,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,N/A
Nissan 240SX,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,N/A
Nissan GT-R,Nissan Motor Company,Nissan,N/A,N/A,N/A,N/A,N/A,,N/A
Nissan Silvia S15,Nissan,Nissan Silva,N/A,N/A,N/A,N/A,N/A,,N/A
Nissan Skyline GT-R,Prince Motor Company Nissan Motor Company,N/A,N/A,N/A,N/A,N/A,N/A,,N/A
Pickup trucks,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,N/A
Pontiac Bonneville,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,N/A
Subaru Impreza WRX STi,Subaru,Subaru,N/A,N/A,N/A,N/A,N/A,,N/A
The Fast and The Furious Cars,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,N/A
The Fate of the Furious Cars,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,N/A
Tokyo Drift Cars,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,N/A
Toyota Corolla,Toyota,N/A,N/A,N/A,N/A,N/A,N/A,,N/A
Toyota Supra MK IV,Toyota,Toyota,N/A,N/A,N/A,N/A,N/A,,N/A
Tuners,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,N/A
Volkswagen Golf R32,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,N/A
2012 Gurkha LAPV Armored Vehicle,Gurkha,Gurkha,LAPV Armored Vehicle,2012,In Production,Military Vehicle,Fast Five,FF5,Major
